timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89402226895,2,6,-3,-2,-3,3,0,-1
89402226895,-3,3,4,4,1,4,1,1
89402228526,0,-12,-2,-1,1,-3,-2,0
89402228526,3,16,5,2,2,3,-1,-2
89402232182,-3,-14,-3,1,1,-1,-4,0
89402232182,1,7,-9,-5,0,-3,-2,-3
89402233577,-2,-11,0,-6,-6,-2,1,0
89402233577,3,11,2,3,2,-1,1,0
89402238604,-1,1,14,8,4,1,2,0
89402238604,-2,7,-23,-22,-15,-8,-3,-4
89402250081,-3,-9,-5,-1,3,3,1,-2
89402250081,-4,-13,-20,-9,-9,-6,-1,-1
89402262926,1,14,16,6,-8,-6,-3,-4
89402262926,1,-5,1,6,6,-1,0,-2
89402268509,-1,-12,25,7,-2,0,-1,-2
89402268509,-5,-17,-4,-5,-2,1,-2,1
89402277177,-1,4,-2,1,5,2,-2,-2
89402277177,1,-6,13,-1,-3,0,0,2
89402292179,-4,-11,-15,-8,1,-4,-1,-5
89402292179,1,-9,1,1,3,0,0,-2
89402298706,0,-5,-6,-5,-2,-1,0,-1
89402298706,-2,-2,-1,4,1,-1,-1,-1
89402337266,-5,-2,2,-2,-2,-1,-1,0
89402337266,2,-1,-8,-7,7,0,2,3
89402345428,2,9,12,10,-5,-4,-1,-3
89402345428,1,15,-9,-9,-4,-5,-1,-1
89402346047,-2,6,1,4,2,0,-3,0
89402346047,-3,-6,-26,-9,-7,-7,-1,-4
89402347650,-2,-3,-1,-4,1,7,0,2
89402347650,0,8,4,0,2,0,0,1
89402358224,2,12,7,9,-1,0,-4,-1
89402358224,-3,10,-4,-9,-2,-2,-1,-2
89402367291,1,6,-2,4,1,0,-2,-1
89402367291,-6,-4,-3,3,2,0,-1,0
89402373411,-7,-17,-14,-9,-5,-4,2,-2
89402373411,3,-1,16,7,2,3,0,1
89402388436,1,-6,-8,-2,1,2,0,3
89402388436,-1,-2,10,11,2,2,0,1
89402395932,2,0,4,1,2,0,-3,-2
89402395932,-4,-4,-1,4,-1,1,-4,0
