timestamp,x,y,z
336682070842,1,0.125,-0.5
336682094418,1.5,-0.3125,-0.9375
336682123337,-1.75,-1.5,-0.5
336682131948,-0.375,-1.125,-1.3125
336682153266,-0.9375,-0.875,-2.0625
336682183892,-0.0625,0.375,-1.6875
336682231004,-0.625,-0.3125,-0.5
336682231781,-0.4375,0.125,-0.3125
336682238306,0.1875,1.0625,-0.6875
336682252691,0.1875,0.9375,-0.125
336682274015,0,0.625,0.5625
336682288301,-0.0625,0.375,0.3125
336682341365,-0.125,0.125,-0.6875
336682342114,-0.5625,0.5,-1.0625
336682355627,-0.1875,0.375,-0.625
336682372089,-0.125,-0.375,0.0625
336682394549,0.1875,-0.25,0
336682409579,0.875,-0.3125,-0.1875
336682432092,-0.375,0.375,-0.875
336682461303,0.1875,0.8125,-0.9375
336682475648,-0.5,0.5625,-0.1875
336682492153,-0.0625,0.0625,-0.5625
336682514572,0,0.375,-0.3125
336682535665,0,0.5625,-0.4375
336682552106,-0.3125,0.1875,-0.3125
336682574618,-0.5,0,-0.4375
336682588173,-0.375,0.3125,-0.5625
336682611281,-0.1875,0.125,-0.5625
336682633833,-0.0625,0.25,-0.0625
336682648142,0.625,0.125,-0.125
336682679498,0.5,-0.1875,-0.125
336682693858,0.5625,0.0625,-0.3125
336682708200,0.625,0.25,-0.3125
336682731332,0.1875,-0.1875,0
336682753782,0.5,-0.3125,0
336682768132,0.1875,0.125,-0.1875
336682791313,0.125,0.375,-0.3125
336682813767,0,0.1875,-0.375
336682828209,0.0625,-0.125,-0.4375
336682851332,0.6875,0.1875,-0.125
336682873825,0.5,0.625,-0.1875
336682888180,-0.1875,0.4375,-0.25
336682911363,0.5625,0.125,-0.6875
336682933849,0.1875,0.25,-0.875
336682948190,0.25,0.375,-0.5625
336682971377,-0.0625,0.375,-0.0625
336682993855,0.3125,0.5625,-0.1875
336683008131,0.125,0.375,-0.625
336683031305,-0.125,0.1875,-0.6875
336683053798,-0.25,0,-0.3125
336683068151,-0.25,0.25,-0.1875
336683091400,-0.625,0.5625,-0.5625
336683113828,-0.75,0.4375,-1.125
336683128104,-1.4375,0.3125,-1.625
336683151049,-1.9375,0.125,-1.3125
336683173824,-2.625,0.5,-1
336683188161,-1.9375,0.625,-0.75
336683211366,-2.3125,0.5625,-1.125
336683233627,-0.9375,0.5625,-1.3125
336683248138,-0.5,0.4375,-0.9375
336683271257,-0.125,0.3125,-0.1875
336683293825,0.3125,0,0
336683308069,0.9375,0.1875,-0.0625
336683330601,0.5,0.1875,-0.25
336683353572,0.4375,-0.4375,0
336683368160,0.4375,-0.5,0.1875
336683390646,0.6875,-0.4375,0.125
336683413157,0.125,-0.4375,0.0625
336683428133,-0.125,0.1875,-0.0625
336683450641,0.0625,0.0625,-0.0625
336683473183,0.375,-0.125,-0.125
336683488238,0.4375,-0.3125,-0.25
336683510716,-0.3125,0.125,-0.6875
336683533210,-0.25,0.0625,-0.5625
336683548188,-0.4375,-0.125,-0.375
336683570684,-0.1875,-0.4375,-0.3125
336683593208,0,-0.25,-0.1875
336683608234,-0.0625,0.25,-0.3125
336683630637,-0.5,0.375,-0.0625
336683653174,-0.3125,0.4375,-0.0625
336683668199,0.0625,0.0625,-0.0625
336683690686,0.6875,0,-0.125
336683713220,0.4375,0.3125,0.125
336683729627,-0.125,0.3125,0.0625
336683752173,0.0625,0.25,-0.1875
336683773231,0.4375,0.1875,-0.5625
336683788210,0.25,0.1875,-0.5
336683810661,0.375,0.375,-0.0625
336683833203,0.1875,0.3125,0.0625
336683848214,0.25,0,-0.0625
